p1	p2	p3	Code	Nums
3	3	3	003	Three 3s
3	3	2	012	Two 3s One 2
3	2	3	012	Two 3s One 2
2	3	3	012	Two 3s One 2
3	2	2	021	One 3 Two 2s
2	3	2	021	One 3 Two 2s
2	2	3	021	One 3 Two 2s
2	2	2	030	Three 2s
3	3	1	102	Two 3s One 1
3	1	3	102	Two 3s One 1
1	3	3	102	Two 3s One 1
3	1	1	201	One 3 Two 1s
1	3	1	201	One 3 Two 1s
1	1	3	201	One 3 Two 1s
1	1	1	300	Three 1s
2	2	1	120	Two 2s One 1
2	1	2	120	Two 2s One 1
1	2	2	120	Two 2s One 1
2	1	1	210	One 2 Two 1s
1	2	1	210	One 2 Two 1s
1	1	2	210	One 2 Two 1s
3	2	1	111	One 3 One 2 One 1
3	1	2	111	One 3 One 2 One 1
1	3	2	111	One 3 One 2 One 1
1	2	3	111	One 3 One 2 One 1
2	3	1	111	One 3 One 2 One 1
2	1	3	111	One 3 One 2 One 1
